t	q	bsb
0	0.00	0.0	
600	0.00	0.0	
1200	0.00	0.0	
1800	0.10	1.0	
2400	0.10	1.0	
3000	0.10	1.0	
3600	0.20	2.0	
4200	0.20	2.0	
4800	0.30	3.0	
5400	0.60	6.0	
6000	0.60	6.0	
6600	0.50	5.0	
7200	0.40	4.0	
7800	0.20	2.0	
8400	0.00	0.0	
9000	0.00	0.0	
9600	0.00	0.0	
10200	0.00	0.0	
10800	0.00	0.0	
11400	0.00	0.0	
12000	0.00	0.0	
12600	0.00	0.0	
13200	0.00	0.0	
13800	0.40	4.0	
14400	0.60	6.0	
15000	0.50	5.0	
15600	0.05	0.5	
16200	0.00	0.0	
16800	0.00	0.0	
17400	0.00	0.0	
18000	0.00	0.0	
18600	0.00	0.0	
19200	0.00	0.0	
19800	0.00	0.0	
20400	0.00	0.0	
21000	0.00	0.0	
